rank_main,rank_child,lemma,pos,rnc_ipm,detcorpus_ipm,freq_sum,all_rki_abs,r,dp,det_rki_ipm,native_ipm,bilingual_ipm,inA1,inA2,dp_factor,zipf_rki,formula_mean_zipf,formula1,rufola_123_ipm,native_abs,bilingual_abs,cefr,comment_main,comment_child,kelly
117,173,потому,ADVERB,769.3,788,1153,127,92,0.63,601.9,435.02,681.08,1,1,37,5.78,6,21,2015,395,378,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),NO
118,526,сторона,NOUN,768.3,867,361,18,46,0.67,85.31,216.96,221.62,0,0,33,4.93,5,19,183,197,123,B1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
119,1387,какой-то,APRO,762.6,863,277,5,38,0.68,23.7,172.91,163.96,0,0,32,4.37,5,17,191,157,91,B1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B1
120,86,думать,VERB,755.5,1171,1865,212,85,0.64,1004.74,917.4,963.96,1,1,36,6,6,22,2270,833,535,A1,очень частотно (ТОП-1000),крайне частотно (ТОП-100),A1
121,171,сделать,VERB,743.5,838,2582,225,77,0.65,1066.35,1612.33,1338.74,1,1,35,6.03,6,21,1195,1464,743,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
122,236,страна,NOUN,725.7,170,950,132,85,0.6,625.59,302.86,733.33,1,1,40,5.8,6,21,1083,275,407,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
123,49,жить,VERB,725.5,674,2901,543,100,0.59,2573.46,1025.33,2010.81,1,1,41,6.41,6,23,2477,931,1116,A1,очень частотно (ТОП-1000),крайне частотно (ТОП-100),A1
124,180,чем,CONJUNCTION,721.1,647,1257,105,69,0.63,497.63,718.06,803.6,0,0,37,5.7,5,21,430,652,446,A2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
125,338,мир,NOUN,714.7,266,623,80,69,0.67,379.15,265.42,297.3,1,1,33,5.58,6,20,1091,241,165,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
126,318,об,PREPOSITION,714.5,446,996,94,69,0.64,445.5,566.08,535.14,1,1,36,5.65,6,20,725,514,297,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
127,544,последний,ADJECTIVE,712.6,467,711,30,46,0.67,142.18,438.33,409.01,0,1,33,5.15,5,19,446,398,227,A2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
128,1989,случай,NOUN,709.7,383,390,4,31,0.72,18.96,289.65,192.79,0,1,28,4.28,5,16,127,263,107,A2,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A2
